Text,Benigne,Cyber Terrorism,Cyber Bullying,Extremism
اخرس صحيح ما تفهم,0,0,0.6,0.4
 كله رائع بجد ربنا يكرمك,1,0,0,0
 اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها,1,0,0,0
 الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,0,0.2,0,0.8
 لسانك قذر يا قمامه,0,0,1,0
​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,0,1,0,0
ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,1,0,0,0
ابو الشباب راعي العود ليش ماوزنه في البيت غباء,0,0,1,0
ابو معيتق قطع اوتار العود وقال السلام عليكم,1,0,0,0
اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,1,0,0,0
اترك ما تهوى لاجل من تخشى,1,0,0,0
اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,0,0,1,0
اتفه على هيك برنامج عالمي,0,0,0.8,0.2
اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,0,0,0,1
اجتماع حواء اكيد في خرفنه ,0,0,0.9,0.1
اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,0,0,1,0
احب الله تعالى و رسوله الكريم,1,0,0,0
احتمال ما يشارك الليو البايخ,0,0,1,0
احذفه لاني بجلس احش فيهم لمين اكفر,0,0,0,1
احس انه يفطر حشيش,0,0.8,0.2,0
احسن اظن بالله وتوكل عليه وحده,1,0,0,0
احسن شيء العمل الذي يؤدي للاستمراريه,1,0,0,0
احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,1,0,0,0
احسنت كلام دقيق جدا,1,0,0,0
احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم ,1,0,0,0
احقر من هيك خيانه ما في,0,0,1,0
احلى اشي الواحد يوكل بدون ما يطبخ,1,0,0,0
احلى اشي في الحياه الاستقرار مع زوج صالح,1,0,0,0
احلى شىء النهايه الباقيه صح كلامك,1,0,0,0
احلى صباح من احلى شيخ في العالم,1,0,0,0
